Example name,1,2,3,4,6,8,10,12,16,24,32,46,58,64
MaxDist,1.0,1.99767479975,2.99523894847,3.99120682716,5.98675102299,7.97561274844,9.96130062586,11.9330975574,15.9133067148,23.8313931228,31.4556451613,42.6287258924,50.6058954798,56.2177510017
MaxSegStrip,1.0,1.71691534807,2.1450331218,2.70352732758,3.89488619852,5.64682586204,6.67589943715,8.4881819083,11.5140570199,15.1668134474,15.5426649726,18.4018027698,10.7462525274,12.9107334316
2DSorted,1.0,1.71598025089,2.22642295152,2.56228988158,3.81482066245,5.53444117744,6.96308180858,8.64035072638,10.8713691151,12.2660242799,14.9362506464,12.3597810208,10.1759138897,11.8576700202
2DSum,1.0,1.6417682247,2.13341390929,2.42267847406,3.6837132447,5.37323453248,6.60112755281,8.39930513684,10.6006383994,12.9571530564,15.0380458885,15.2878295328,11.2701494757,15.3974380422
PyramidRange,1.0,1.75367399803,2.45864053337,2.88109121496,4.42499898728,5.70406186006,6.95575327849,7.61428845944,10.5556890419,14.2321750521,15.6698548825,17.8227125804,15.7406462618,20.9137620565
MinMaxCol,1.0,1.8628600903,2.60199952627,3.29965957731,5.17570034747,6.65098385469,8.23742179795,9.80203467801,12.7354890443,17.8934449409,20.9101003291,15.3308716637,11.0723725103,9.35377930835
MaxBalSub,1.0,1.97804871149,2.81339992054,3.74749958131,5.32303124881,6.40128161117,7.66574854402,8.41056944183,9.29635230577,9.13692119232,6.54488870689,6.13352338139,6.34141585898,4.83519598946
MTRR,1.0,1.89312795878,2.57000132704,3.40503502616,5.09591131727,6.46514311876,7.87285197424,9.37886995565,11.6733544587,16.2431883211,17.4457510688,15.2959733899,12.9619359959,11.8329172704
MaxTopStrip,1.0,1.86080362488,2.06243779314,2.85400500513,3.87967904295,5.56129546049,7.15664298726,8.75443188972,10.6807531508,14.3969048289,16.7629843865,16.879362392,14.4605350179,19.0021816787
Overlapping,1.0,1.78075098254,2.50387389462,3.20393374741,4.36993536601,5.57579604241,6.94219182431,8.24839275757,10.2550051613,13.3291150143,15.9877772082,19.2149727308,17.6364098608,18.1310609611
MinMax,1.0,1.95578818986,2.33896509811,2.98068213669,4.34381567137,5.62991621365,7.53379556179,9.22843460329,12.3332611024,16.819403979,18.7560570336,23.8137695721,22.2836582205,23.5366443203
SaddlePoint,1.0,1.80280208887,2.54742200244,3.27776434647,4.76856237285,6.23783755522,7.61670071502,8.97491255125,11.2095758874,15.6391978796,17.8447179886,18.3782618072,15.6983384298,14.5302642796
MaxLeftRect,1.0,1.80319011837,2.72322364284,3.34682649935,4.55849773447,5.72313607531,7.31586165844,8.79267756235,10.0369983087,13.2501201941,10.3035057807,8.54832001391,6.69598156438,6.5759956906
MaxSegBox,1.0,1.75613052571,2.28387354923,2.71149278379,3.7012417062,4.48407053575,5.54356045277,8.04478300628,7.67192575406,9.62120748455,10.2596271538,9.60066079295,10.819952925,12.3846215442
Mode,1.0,1.70794129599,2.54650918921,2.53673568875,3.53624071667,4.31992330854,5.71988763751,6.33192981101,7.86666154752,9.95117486894,11.9007773944,13.8802093257,14.2207247166,14.8398581345
MTLR,1.0,1.85751791298,2.81081169194,3.57089394383,5.09484534342,6.55773598027,8.05653450808,9.23335245745,12.8633650451,15.9732101384,15.9982133343,12.953022583,12.8433270094,11.5028637321
Gradient1,1.0,1.81193933566,2.58635532448,3.19420439123,4.81151620932,6.32067119993,7.94042421543,9.19012606339,12.8267575416,18.7412345306,23.0935759607,29.2240190425,26.5300630444,28.9779789279
MaxBottomBox,1.0,1.39954424133,2.10368646153,2.4563355384,3.61614469393,4.32812416351,5.28730766487,5.88374154791,7.40950825682,8.15980034133,11.740141784,10.9180420047,8.84123038992,11.0426455542
MaxTopBox,1.0,1.27664306721,1.79404883245,2.35739634114,3.37681241036,4.47759314204,5.30308890553,6.1358014585,6.44580368212,9.04580828266,10.3495965176,10.3639428661,9.63377472733,10.8270246781
IncreasingRange,1.0,1.88306526971,2.40247878387,3.38300409069,4.83696802257,6.12125495155,7.88432824499,8.94199788095,11.5938390874,14.7258361817,19.13142711,20.9659597598,24.7920600169,21.026856442
